Original_ID,SMILES,standard_value,standard_units,relation,Activity_uM,Filter_Status,Source,Activity_Type,InChIKey,MW,LogP,TPSA,RotBonds
CHEMBL2088665,COc1cccc(Cn2c3ccc(Br)cc3c3c(C)n[nH]c(=O)c32)c1,2200.0,nM,=,2.2,PASS,ChEMBL,IC50,XAXTZRLEMGBGGK-UHFFFAOYSA-N,398.26000000000016,4.005620000000002,59.910000000000004,3
CHEMBL2152125,CNC(=O)c1nc(-c2cccc(-c3nn[nH]n3)c2)cnc1N,529.0,nM,=,0.529,PASS,ChEMBL,IC50,PLUDSXLHMVRUKP-UHFFFAOYSA-N,296.2940000000001,0.2654999999999998,135.36,3
CHEMBL2152128,CNC(=O)c1nc(-c2cccc(C(F)(F)F)c2)cnc1N,3575.0,nM,=,3.575,PASS,ChEMBL,IC50,YYEBYKCTUDXNMM-UHFFFAOYSA-N,296.252,2.1042,80.9,2
CHEMBL2152129,CNC(=O)c1nc(-c2cccc(S(=O)(=O)Nc3ccccc3)c2)cnc1N,744.0,nM,=,0.744,PASS,ChEMBL,IC50,YFPXBQYEWIXRLJ-UHFFFAOYSA-N,383.4330000000001,1.8861999999999999,127.07,5
CHEMBL2152130,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3ccccc3)c2)cnc1N,174.0,nM,=,0.174,PASS,ChEMBL,IC50,HTYABFBMEWNERT-UHFFFAOYSA-N,417.8780000000001,2.5396,127.07,5
CHEMBL2152131,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)NC)c2)cnc1N,142.0,nM,=,0.142,PASS,ChEMBL,IC50,KIHHGWSXCNXSLK-UHFFFAOYSA-N,355.8070000000001,0.6469000000000003,127.07,4
CHEMBL2152133,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)NCC(F)(F)F)c2)cnc1N,752.0,nM,=,0.752,PASS,ChEMBL,IC50,CAASLLPCCZHNAB-UHFFFAOYSA-N,423.8040000000001,1.5794000000000004,127.07,5
CHEMBL2152134,CNC(=O)c1nc(-c2ccc(OC)c(S(=O)(=O)Nc3ccccc3)c2)cnc1N,1807.0,nM,=,1.807,PASS,ChEMBL,IC50,FBXSSTFHXMDNAW-UHFFFAOYSA-N,413.45900000000006,1.8948,136.29999999999998,6
CHEMBL2152135,CNC(=O)c1nc(-c2ccc(F)c(S(=O)(=O)Nc3ccccc3)c2)cnc1N,953.0,nM,=,0.953,PASS,ChEMBL,IC50,NXTWMQNCGDEHNF-UHFFFAOYSA-N,401.4230000000001,2.0253,127.07,5
CHEMBL2152137,CNC(=O)c1nc(-c2cccc(NS(=O)(=O)c3ccccc3)c2)cnc1N,3643.0,nM,=,3.643,PASS,ChEMBL,IC50,QXWFZVFZPWJEKQ-UHFFFAOYSA-N,383.4330000000001,1.8861999999999999,127.07,5
