Original_ID,SMILES,standard_value,standard_units,relation,Activity_uM,Filter_Status,Source,Activity_Type,InChIKey
CHEMBL271544,COC[C@H]1OC(=O)/C(=C/N2CCN(C3CCCCC3)CC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,43.0,nM,=,0.043,PASS,ChEMBL,IC50,JNFWQGVUNMMOGD-CIXOFKJKSA-N
CHEMBL271430,COC[C@H]1OC(=O)/C(=C/N2CCN(C3CCN(C)CC3)CC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,91.0,nM,=,0.091,PASS,ChEMBL,IC50,BKHRLXVZVSOZEF-CIXOFKJKSA-N
CHEMBL405157,COC[C@H]1OC(=O)/C(=C/N(CCC#N)Cc2ccccc2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,444.0,nM,=,0.444,PASS,ChEMBL,IC50,JRWRJUWMDJELOY-CIXOFKJKSA-N
CHEMBL409620,COC[C@H]1OC(=O)/C(=C/N(C)CC(O)CO)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,199.0,nM,=,0.199,PASS,ChEMBL,IC50,LGTRUUGHUQAODL-ZQWXHSKWSA-N
CHEMBL412076,COC[C@H]1OC(=O)/C(=C/N(CCO)CCO)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,918.0,nM,=,0.918,PASS,ChEMBL,IC50,HSGVBTSKBNFHNY-URZOBYQNSA-N
CHEMBL272593,COC[C@H]1OC(=O)/C(=C/N(C)CCCC(=O)O)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,193.0,nM,=,0.193,PASS,ChEMBL,IC50,DQKLAVWUTSNCJG-OJOIWYBLSA-N
CHEMBL272281,COC[C@H]1OC(=O)/C(=C/N(C)CC(=O)OC(C)(C)C)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1580.0,nM,=,1.58,PASS,ChEMBL,IC50,OKOCAEDOEFQOCN-YASHMGRFSA-N
CHEMBL271413,COC[C@H]1OC(=O)/C(=C/N(C)C2CCN(C)C2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,127.0,nM,=,0.127,PASS,ChEMBL,IC50,LVDQZNIOZCHAJQ-HMTQYQLDSA-N
CHEMBL405258,COC[C@H]1OC(=O)/C(=C/N(C)CCCN2CCN(c3ccc(OC)cc3)CC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,15.0,nM,=,0.015,PASS,ChEMBL,IC50,BRTCTEQYNRVBSP-HDPRDINCSA-N
CHEMBL407215,COC[C@H]1OC(=O)/C(=C/N(C)CCCN2CCOCC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,24.0,nM,=,0.024,PASS,ChEMBL,IC50,NSLFSHTVWFBQTJ-SNDIIMSBSA-N
CHEMBL407214,COC[C@H]1OC(=O)/C(=C/N(C)CCCN2CCN(C)CC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,10.0,nM,=,0.01,PASS,ChEMBL,IC50,FFLIRIPBGRGDII-XCGCEKMHSA-N
CHEMBL272595,COC[C@H]1OC(=O)/C(=C/N(CCCN(C)C)CCCN(C)C)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,22.0,nM,=,0.022,PASS,ChEMBL,IC50,JCAZTMPYIYKFKY-FIVGWOKHSA-N
CHEMBL429577,CCN(/C=C1/C(=O)O[C@H](COC)[C@]2(C)C3=C(C(=O)C(=O)C12)[C@@H]1CC[C@H](O)[C@@]1(C)C[C@H]3OC(C)=O)CCN(CC)CC,24.0,nM,=,0.024,PASS,ChEMBL,IC50,WTAAKFLXEJZPNY-SNDIIMSBSA-N
CHEMBL409671,CCN(CC)CCN(C)/C=C1/C(=O)O[C@H](COC)[C@]2(C)C3=C(C(=O)C(=O)C12)[C@@H]1CC[C@H](O)[C@@]1(C)C[C@H]3OC(C)=O,50.0,nM,=,0.05,PASS,ChEMBL,IC50,QAOMKKNFEJVEST-RLQNIATHSA-N
CHEMBL272897,CCN(/C=C1/C(=O)O[C@H](COC)[C@]2(C)C3=C(C(=O)C(=O)C12)[C@@H]1CC[C@H](O)[C@@]1(C)C[C@H]3OC(C)=O)CCCN(C)C,12.0,nM,=,0.012,PASS,ChEMBL,IC50,PSQATMPJQYYAHO-RLQNIATHSA-N
